Date,Stock_01,Stock_02,Stock_03,Stock_04,Stock_05,Stock_06,Stock_07,Stock_08,Stock_09,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Comm_01,Comm_02,Comm_03,Comm_04,Comm_05,Comm_06,Idx_01,Idx_02,Idx_03,FX_01,FX_02,FX_03,FX_04,FX_05,FX_06,Idx_04
2020-01-07,151.52984872406105,134.0318120175058,123.27991194546357,319.8362223633352,82.8488831085521,167.50824161058407,357.5112709882984,142.86795362154706,151.36610481691534,180.0689074191953,315.95332255326116,273.7149911936436,149.7960966975159,334.17181863779405,43.04872377898397,109.98618938930942,142.33450867779166,84.24022639508087,39.786528060383695,91.08331561748166,74.08892404292524,61.0447094674909,140.39629907113542,175.2026333254137,129.6748286904791,119.44248091495571,96.03768199440121,80.40496250473987,104.26499738666539,92.10922591619767,166.82529256910834
2020-01-08,151.87516043088416,131.2982568896718,122.02097618104656,320.7043743657261,84.64817405060073,166.49462300298643,359.0545404199562,141.76471691469632,149.15973999561953,179.5015703621719,315.3943123260456,273.8938140301398,150.26241566131733,339.4333744365804,42.78477687382315,108.61706285030479,141.03051304459905,80.08867441346274,39.40007409666825,91.57056930421815,73.57871661347409,59.53961805407211,141.21127031172193,175.70787508765474,130.5768450168063,119.0127768818255,95.32253317235579,80.09436941968585,104.58470062433148,91.14386005153334,165.69532535618092
2020-01-09,150.7817070047948,133.03385630162882,124.79062982963814,323.30918125480105,84.23923753094351,166.5840652485284,369.00459196496564,142.5231745048382,149.4676179283931,179.60023767643682,317.76994808885945,279.04268392825793,150.72873462511876,332.4180190406883,42.8243763963167,107.24794776478393,140.5143423491222,80.02149822529194,39.86013771239612,91.2944575909617,72.1574360073398,55.511287636784076,142.15161228939104,176.11208694197663,130.3371770642346,120.13111025088486,95.86004626061096,79.79618773223223,104.00409849506858,92.16948913331163,167.746417783617
2020-01-10,150.0910991198488,132.7735143975498,123.35739691765082,327.9398048061522,84.89352439511163,165.33200510231086,376.7209391232546,140.93731963453195,148.69797627578922,178.76156550518482,313.1584569499508,280.4371803802307,147.3569090037587,333.7671057184279,42.17772232266034,108.28680164673605,141.0395663436588,79.32285459284321,40.5226333555752,91.5543288054327,72.23032119418043,55.59982441247499,142.90393230007507,175.45525420653422,130.8070046325853,120.6555764727837,96.26036337970399,79.78111430383615,104.35928588334713,92.23938489508627,167.47446616807898
2020-01-14,150.11987380135906,133.38096223802194,119.69675416860784,327.28853290750305,88.49208975451829,163.03650679617465,376.1117787674475,140.86833961121124,150.39122133852524,178.29287840364478,311.69122672131965,287.33816975030726,148.1460398610974,343.4806606377107,41.940173938430206,106.13102693767746,139.67218656295867,78.23458189370326,40.246596063645214,93.42211782454763,70.37172390621895,54.8472787057656,144.31448623294526,176.5415793289396,130.51782231206846,121.18994510383448,96.90093991914634,79.95790396317324,104.3593150191088,92.85317741056774,167.83125560654594
2020-01-15,146.63809075251925,132.03588066289714,121.53673914472722,321.6811944932243,88.57388697326412,161.3373338907746,370.83217281703924,138.66188636415885,150.03204814339944,176.12219748981605,308.54704002414894,281.76020659542297,149.29389680748753,332.95765371178413,41.49147917309567,107.62625633263116,140.55056659945043,77.67029576281081,39.01361574541915,93.22721634985302,70.40816371924763,54.980079647636124,143.18601304464698,176.5415793289396,130.47465998654496,121.03789520846966,96.73735282715919,79.92319484781487,104.27951672807028,92.76735821419388,166.16583443667096
2020-01-16,145.5733964792399,131.16807099549126,121.11063471177019,321.78972226557073,88.9828069682307,161.87393812976265,365.34943026081834,139.9719723910507,149.05713427682073,178.34221206077726,315.3943123260456,283.7625058756237,153.41903889853376,345.9089904897305,41.9269764190624,107.33801796089506,140.2698480040626,78.62421096039449,38.222302114334916,92.64251967040384,69.71574610308647,54.537404212513266,144.09504306282034,177.274265190136,130.40294634819043,121.06985527603804,96.96375348546525,80.08909671560181,104.43854182079657,92.84288328330253,166.98638860031053
2020-01-17,146.03383796950442,132.73014234282013,122.95064485351874,325.3711738411928,92.25423302672596,161.0094172837703,368.27356960260136,140.59251026784943,151.00691642769522,179.674220803354,321.4031620535026,283.3334805778782,153.23970080597346,355.2177539859126,42.4812478571442,108.16670041626541,141.1572923937033,78.65108246070575,36.86050819573735,92.56130943184199,69.27842942125925,53.563525009908254,144.9100552697734,177.8047759571875,130.80837236014608,121.39158270003725,97.09568523917869,79.985517182938,104.62775315084617,92.80108032062184,168.43456087711223
2020-01-21,144.47994305315055,131.6019509256258,122.87317246414607,326.45648665284716,91.9271019881599,158.44567429811428,368.15175748837044,137.35178017061796,152.13576166361352,180.16757473346024,322.17175009441297,284.048590699808,151.30269636760102,349.55158993940626,42.62641708799486,106.59340407615743,140.939957945823,78.38237258280783,34.87302126620009,90.90466238620711,69.8250766637391,56.883578108332344,141.24263689303973,176.3899998835689,131.23448525145835,121.38937189052372,96.72219942432012,79.67929804559006,104.56671664210543,92.49807446413921,168.0264852919087
2020-01-22,144.10588772221763,131.47180487715468,122.31148820408319,322.9473518372659,90.29137243422163,157.70034960430013,363.7655484756958,137.90339852404333,150.28857003744355,179.05755008919812,321.82239189399917,284.5849006382485,153.2038198797465,342.9409997987033,41.517867247441096,106.7135053066281,140.84034954798724,76.2327038100538,35.05704758999797,89.88143351637777,70.18950815872566,57.14917999207339,142.40240838537824,176.7436737282699,131.2137983721017,121.09739372457935,96.39114384269388,79.59803334985334,104.44360298783484,92.29013657631202,167.66071912290812
