Date,Cash,Stock_01_Shares,Stock_01_Value,Stock_02_Shares,Stock_02_Value,Stock_03_Shares,Stock_03_Value,Stock_04_Shares,Stock_04_Value,Stock_05_Shares,Stock_05_Value,Stock_06_Shares,Stock_06_Value,Stock_07_Shares,Stock_07_Value,Stock_08_Shares,Stock_08_Value,Stock_09_Shares,Stock_09_Value,Stock_10_Shares,Stock_10_Value,Stock_11_Shares,Stock_11_Value,Stock_12_Shares,Stock_12_Value,Stock_13_Shares,Stock_13_Value,Stock_14_Shares,Stock_14_Value,Stock_15_Shares,Stock_15_Value,Comm_01_Shares,Comm_01_Value,Comm_02_Shares,Comm_02_Value,Comm_03_Shares,Comm_03_Value,Comm_04_Shares,Comm_04_Value,Comm_05_Shares,Comm_05_Value,Comm_06_Shares,Comm_06_Value,Idx_01_Shares,Idx_01_Value,Idx_02_Shares,Idx_02_Value,Idx_03_Shares,Idx_03_Value,FX_01_Shares,FX_01_Value,FX_02_Shares,FX_02_Value,FX_03_Shares,FX_03_Value,FX_04_Shares,FX_04_Value,FX_05_Shares,FX_05_Value,FX_06_Shares,FX_06_Value,Idx_04_Shares,Idx_04_Value,Total_Value,_fx_exposure,_hedge_score,_rms_unhedged
1994-07-18,106240.15611855147,8,1035.3449933148956,14,2186.3969840761492,12,2432.9986367147826,8,967.0407126552412,6,551.5625623548873,-10,-1185.5136537291592,11,5152.6143742954655,7,747.7018033926963,10,1889.9581144307008,12,2559.3179804760593,15,4145.360708067055,7,895.1255950377242,14,2516.494567373567,8,1702.8896957326688,8,317.4322909894524,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-39,-4709.767974882736,-35,-4648.799038676136,-46,-4680.574350676313,-62,-4749.635455853514,-51,-4718.170922579276,-43,-4729.402521638469,0,0.0,103918.53121942721,"{'Crncy_03': np.float64(23447.22063955041), 'Crncy_04': np.float64(-6654.2965807315595), 'Crncy_02': np.float64(-4281.375529741335), 'Crncy_01': np.float64(13403.176836104674)}",0.0,7364.696582897715
1994-07-19,106220.80994016693,8,1042.036247086428,13,1978.6366183321272,12,2401.62363626652,8,961.0245612089848,6,550.5811444521532,-10,-1178.1345037522256,11,5060.022021232309,7,739.053163628275,10,1853.170468812367,12,2598.9293278064133,15,4104.559837547555,7,893.2999669719235,14,2536.467023723836,7,1511.91674680588,8,312.7931163420019,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-38,-4618.486245165033,-35,-4635.648841069275,-46,-4641.435614363517,-61,-4647.098181002686,-50,-4629.542499761078,-42,-4576.945257205273,0,0.0,103837.63267806462,"{'Crncy_03': np.float64(23169.645035704583), 'Crncy_04': np.float64(-6727.299022255126), 'Crncy_02': np.float64(-4107.99236401341), 'Crncy_01': np.float64(13031.625727028499)}",0.0,7216.698301648942
1994-07-20,103868.74551251472,8,1027.2070239405934,13,2000.2943603837743,12,2389.2635862800244,8,947.4890099392571,6,549.1090423850881,10,1199.3494676216583,11,5015.252375732989,7,768.5368580337333,10,1862.3668484235286,12,2603.331028376658,15,4153.520715191512,7,912.7726458660763,14,2536.467023723836,7,1577.582085451298,8,318.34610242485417,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-38,-4619.371796155725,-35,-4629.864295804631,-46,-4619.51840391287,-61,-4630.932892001154,-50,-4614.322862640206,-43,-4679.175680889015,0,0.0,103936.447754886,"{'Crncy_03': np.float64(23059.673628989556), 'Crncy_04': np.float64(-6763.860939653112), 'Crncy_02': np.float64(-1705.0650567575985), 'Crncy_01': np.float64(13270.140541196035)}",0.0,7384.044138227061
1994-07-21,103967.30685270566,8,1033.3555186662713,14,2172.507178458597,13,2572.919237886507,8,941.2228200275688,6,554.2615235549965,9,1107.4324132488102,11,4938.9395445141035,7,793.3029072345138,11,2033.429172637314,12,2592.327297714448,15,4186.161856885629,7,919.9532170207408,14,2545.6154478654335,7,1601.091541878463,8,332.26362636720535,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-39,-4713.763961917467,-36,-4738.267876979798,-47,-4729.227519335602,-62,-4739.8754580447685,-51,-4712.470471561342,-43,-4682.549099174436,0,0.0,103975.93576965285,"{'Crncy_03': np.float64(23300.457333391532), 'Crncy_04': np.float64(-6451.235689486677), 'Crncy_02': np.float64(-1873.413402471545), 'Crncy_01': np.float64(13348.975062527294)}",0.0,7509.776081489864
1994-07-22,103750.06918401645,9,1146.045430758313,14,2208.9344303528887,13,2564.678738997978,9,1048.7236143365446,7,642.6309587931227,10,1226.7912534338852,11,4836.172147288429,7,798.0201995227966,11,2089.0704448512747,12,2592.327297714448,16,4421.718088604859,7,898.6550686317994,14,2490.7235057054345,8,1769.5971319974617,8,325.5860585742739,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-40,-4806.663358256442,-37,-4857.085514196045,-48,-4830.577504998745,-63,-4829.746550701415,-53,-4882.512643138341,-44,-4806.655389775015,0,0.0,103796.50259251396,"{'Crncy_03': np.float64(23760.012533392815), 'Crncy_04': np.float64(-6732.979726135863), 'Crncy_02': np.float64(-1705.7893274685853), 'Crncy_01': np.float64(13738.430889775143)}",0.0,7677.542422381147
1994-07-25,103400.70127131454,8,996.6439999440967,14,2216.0104953671857,13,2579.098835064005,8,913.9009772588157,7,636.0470923939243,10,1218.028210250673,11,4782.245510858602,7,783.4751032103999,11,2139.6528726037195,12,2528.5092010647522,15,4108.640258558392,7,865.4298429739222,14,2449.5540833152986,7,1495.703164354078,8,314.97210657660503,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-39,-4619.6523381204015,-36,-4721.886131541484,-46,-4659.585025059193,-60,-4633.69720127264,-51,-4665.425536795114,-42,-4650.692373802134,0,0.0,103477.67441851804,"{'Crncy_03': np.float64(22902.15356738832), 'Crncy_04': np.float64(-6231.971484393979), 'Crncy_02': np.float64(-1616.0591171316687), 'Crncy_01': np.float64(12973.788787931793)}",0.0,7405.500988840124
1994-07-26,105919.51758954047,8,1014.0052083252455,14,2189.541251046573,13,2607.9388636194476,8,916.9085968354309,7,639.1958804607183,-10,-1213.4162722865067,11,4696.775688709207,7,772.8608602911884,11,2129.5363536262157,12,2554.9169048218964,15,4178.002406359319,7,880.1562536103221,14,2493.0106699621015,7,1550.8295095480146,8,318.06490824660995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-39,-4643.283592983479,-36,-4712.921912610819,-46,-4674.368462024595,-60,-4657.239996199544,-51,-4713.116193204824,-43,-4728.19736362594,0,0.0,103518.71715206705,"{'Crncy_03': np.float64(22949.618333746028), 'Crncy_04': np.float64(-6308.315016358795), 'Crncy_02': np.float64(-4111.248491732092), 'Crncy_01': np.float64(13198.272257520639)}",0.0,7304.21128130472
1994-07-27,106252.81953284537,9,1130.989900134944,14,2223.6099540628456,13,2669.738270503243,9,1027.8564377097725,7,630.3221546279751,-10,-1204.6531470461816,11,4639.795441399106,7,761.8535390909863,11,2154.8280689076637,12,2587.926222060284,15,4267.763597924631,7,895.8558145498419,14,2545.6154478654335,7,1554.8828135732929,8,314.2692325612217,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-40,-4796.999310941485,-36,-4727.8755927890625,-47,-4763.332898224537,-62,-4784.5514221321755,-52,-4812.409167366419,-44,-4818.441061876851,0,0.0,103749.8638274399,"{'Crncy_03': np.float64(23349.32720594544), 'Crncy_04': np.float64(-6365.617444866855), 'Crncy_02': np.float64(-4268.6183105300215), 'Crncy_01': np.float64(13485.562297376497)}",0.0,7410.11152036403
1994-07-28,106274.16685363313,8,1049.089257402142,14,2230.1615097151375,13,2646.048615094359,9,1020.2427295947682,7,632.0397227123858,-10,-1199.3494676216583,11,4612.322822160308,7,760.2813671335817,11,2170.0027638063825,12,2583.5247297954,15,4288.163754885309,7,894.6388613151518,14,2529.6055309538356,7,1558.936300773916,8,309.9111963769019,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-40,-4775.442872485642,-36,-4745.249024995176,-47,-4778.268998271022,-62,-4781.9818006113255,-52,-4788.210512566296,-43,-4747.569167305914,0,0.0,103743.06417149567,"{'Crncy_03': np.float64(23225.43784351888), 'Crncy_04': np.float64(-6330.2354406410805), 'Crncy_02': np.float64(-4231.001018995099), 'Crncy_01': np.float64(13421.418310215218)}",0.0,7376.532280640894
1994-07-29,108068.69677732635,8,1049.089257402142,14,2264.22993381125,13,2663.5586733257446,-9,-1018.8327105471424,7,635.1884529427623,-10,-1206.4977088833552,11,4650.987441162118,7,780.7234140769073,11,2170.0027638063825,12,2625.337031563557,15,4324.883926094898,7,880.1562536103221,12,1951.6056843252882,7,1580.0139213261893,8,320.1736417229871,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-39,-4694.746735980644,-35,-4625.660857617562,-46,-4682.054621940792,-61,-4697.888829827755,-51,-4728.143382688202,-43,-4720.919964663021,0,0.0,103589.90236034842,"{'Crncy_03': np.float64(23068.68901752733), 'Crncy_04': np.float64(-6050.687819667677), 'Crncy_02': np.float64(-6211.581713544428), 'Crncy_01': np.float64(12864.200491424825)}",0.0,7295.289212608757
