Date,Cash,Stock_01_Shares,Stock_01_Value,Stock_02_Shares,Stock_02_Value,Stock_03_Shares,Stock_03_Value,Stock_04_Shares,Stock_04_Value,Stock_05_Shares,Stock_05_Value,Stock_06_Shares,Stock_06_Value,Stock_07_Shares,Stock_07_Value,Stock_08_Shares,Stock_08_Value,Stock_09_Shares,Stock_09_Value,Stock_10_Shares,Stock_10_Value,Stock_11_Shares,Stock_11_Value,Stock_12_Shares,Stock_12_Value,Stock_13_Shares,Stock_13_Value,Stock_14_Shares,Stock_14_Value,Stock_15_Shares,Stock_15_Value,Comm_01_Shares,Comm_01_Value,Comm_02_Shares,Comm_02_Value,Comm_03_Shares,Comm_03_Value,Comm_04_Shares,Comm_04_Value,Comm_05_Shares,Comm_05_Value,Comm_06_Shares,Comm_06_Value,Idx_01_Shares,Idx_01_Value,Idx_02_Shares,Idx_02_Value,Idx_03_Shares,Idx_03_Value,FX_01_Shares,FX_01_Value,FX_02_Shares,FX_02_Value,FX_03_Shares,FX_03_Value,FX_04_Shares,FX_04_Value,FX_05_Shares,FX_05_Value,FX_06_Shares,FX_06_Value,Idx_04_Shares,Idx_04_Value,Total_Value,_fx_exposure,_hedge_score,_rms_unhedged
1990-01-02,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-03,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-04,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-05,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-08,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-09,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-10,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-11,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-12,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-15,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-16,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-17,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-18,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-19,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-22,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-23,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-24,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-25,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-26,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-29,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-30,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-01-31,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-01,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-02,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-05,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-06,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-07,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-08,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-09,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
1990-02-12,100000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100000.0,"{'Crncy_03': np.float64(0.0), 'Crncy_04': np.float64(0.0), 'Crncy_02': np.float64(0.0), 'Crncy_01': np.float64(0.0)}",100.0,0.0
